step,epoch,split,loss,grad_norm,learning_rate
10,0.02666666666666667,train,2.36547966003418,10.64492416381836,3.157894736842105e-05
20,0.05333333333333334,train,1.5234357833862304,12.362835884094238,6.666666666666667e-05
30,0.08,train,1.0226080894470215,7.253078937530518,0.0001017543859649123
40,0.10666666666666667,train,0.8721872329711914,184.5565185546875,0.0001368421052631579
50,0.13333333333333333,train,0.5969479560852051,2.558466911315918,0.00017192982456140353
60,0.16,train,0.6117751121520996,57.648929595947266,0.00019999940277008808
70,0.18666666666666668,train,0.5336665153503418,1.197426676750183,0.0001999785004721968
80,0.21333333333333335,train,0.46347689628601074,7.413942813873291,0.00019992774381199778
90,0.24,train,0.48018980026245117,0.7164506912231445,0.00019984714794582683
100,0.26666666666666666,train,0.3927734375,1.6111921072006226,0.00019973673694024
110,0.29333333333333333,train,0.5408383369445801,4.417375087738037,0.0001995965437648273
120,0.32,train,0.4449734687805176,16.234962463378906,0.00019942661028236745
130,0.3466666666666667,train,0.3976902961730957,0.6876732707023621,0.00019922698723632767
140,0.37333333333333335,train,0.41562743186950685,0.41089341044425964,0.000198997734235711
150,0.4,train,0.34940481185913086,1.051477313041687,0.0001987389197372567
160,0.4266666666666667,train,0.3999957084655762,0.5226183533668518,0.0001984506210249986
170,0.4533333333333333,train,0.355423903465271,0.44448110461235046,0.00019813292418718732
180,0.48,train,0.3324294567108154,0.16617071628570557,0.00019778592409058378
190,0.5066666666666667,train,0.36258084774017335,0.31546610593795776,0.00019740972435213115
200,0.5333333333333333,train,0.30818564891815187,2.943476915359497,0.00019700443730801413
210,0.56,train,0.3507793426513672,0.5496302247047424,0.00019657018398011434
220,0.5866666666666667,train,0.32337417602539065,0.2569853365421295,0.00019610709403987246
230,0.6133333333333333,train,0.31646249294281004,0.9945704340934753,0.00019561530576956703
240,0.64,train,0.33263049125671384,0.9305699467658997,0.00019509496602102252
250,0.6666666666666666,train,0.29448642730712893,0.8125479221343994,0.00019454623017175812
260,0.6933333333333334,train,0.3400579452514648,0.24453023076057434,0.00019396926207859084
270,0.72,train,0.3136950254440308,0.21279583871364594,0.00019336423402870653
280,0.7466666666666667,train,0.3091411113739014,0.4663684070110321,0.00019273132668821364
290,0.7733333333333333,train,0.33871562480926515,2.082854747772217,0.00019207072904819486
300,0.8,train,0.2951089382171631,1.1784143447875977,0.00019138263836827288
310,0.8266666666666667,train,0.3489964485168457,1.1658883094787598,0.00019066726011770726
320,0.8533333333333334,train,0.3087317943572998,0.9473101496696472,0.00018992480791403958
330,0.88,train,0.2949440717697144,0.8464117050170898,0.0001891555034593055
340,0.9066666666666666,train,0.31281414031982424,0.3214781582355499,0.00018835957647383303
350,0.9333333333333333,train,0.2717095136642456,0.6906686425209045,0.000187537264627646
360,0.96,train,0.33656821250915525,0.6770644783973694,0.00018668881346949417
370,0.9866666666666667,train,0.29623260498046877,0.3498031795024872,0.0001858144763535302
380,1.0133333333333334,train,0.31852006912231445,0.33423924446105957,0.00018491451436365627
390,1.04,train,0.25612874031066896,0.3263019919395447,0.00018398919623556238
400,1.0666666666666667,train,0.29621067047119143,16.29947853088379,0.00018303879827647975
410,1.0933333333333333,train,0.2753134727478027,1.6530879735946655,0.00018206360428267332
420,1.12,train,0.2853112697601318,0.35971781611442566,0.00018106390545469795
430,1.1466666666666667,train,0.2810587167739868,0.46795931458473206,0.0001800400003104436
440,1.1733333333333333,train,0.25473761558532715,0.18283294141292572,0.0001789921945959958
450,1.2,train,0.2819544792175293,0.8614192605018616,0.0001779208011943371
460,1.2266666666666666,train,0.2685691833496094,0.20367996394634247,0.00017682614003191807
470,1.2533333333333334,train,0.2723982810974121,0.23809267580509186,0.0001757085379831246
